City,Latitude,Longitude
Mumbai,19.076,72.8777
Delhi,28.6139,77.209
Bangalore,12.9716,77.5946
Hyderabad,17.385,78.4867
Ahmedabad,23.0225,72.5714
Chennai,13.0827,80.2707
Navi Mumbai,19.033,73.0297
Allahabad,25.4358,81.8463
Ranchi,23.3441,85.3096
Howrah,22.5958,88.2636
Jabalpur,23.1815,79.9864
Gwalior,26.2183,78.1828
Amravati,20.9374,77.7796
Noida,28.5355,77.391
Bhilai,21.1938,81.3509
Cuttack,20.4625,85.8828
Kochi,9.9312,76.2673
Dehradun,30.3165,78.0322
Kharagpur,22.346,87.231
Anantapur,14.6819,77.6006
Karimnagar,18.4386,79.1288
Nizamabad,18.6725,78.0941
Shimla,31.1048,77.1734
Kolkata,22.5726,88.3639
Pune,18.5204,73.8567
Jaipur,26.9124,75.7873
Surat,21.1702,72.8311
Indore,22.7196,75.8577
Thane,19.2183,72.9781
Amritsar,31.634,74.8723
Vijayawada,16.5062,80.648
Jodhpur,26.2389,73.0243
Madurai,9.9252,78.1198
Raipur,21.2514,81.6296
Kota,25.2138,75.8648
Nellore,14.4426,79.9865
Jammu,32.7266,74.857
Sangli,16.8544,74.5644
Mangalore,12.9141,74.856
Belgaum,15.8497,74.4977
Thiruvananthapuram,8.5241,76.9366
